Armada,0.113,6189,Peach
Leffen,0.123,4465,Fox
Hungrybox,0.128,1004,Jigglypuff
Plup,0.177,15990,Sheik
Mew2King,0.186,1003,Marth
aMSa,0.204,1021,Yoshi
Mang0,0.225,1000,Falco
Zain,0.229,6126,Marth
Axe,0.236,16342,Pikachu
Swedish Delight,0.242,1055,Sheik
Lucky,0.242,13932,Fox
S2J,0.243,1017,Captain Falcon
Rishi,0.246,13306,Marth
Gahtzu,0.249,1077,Captain Falcon
Wizzrobe,0.25,1028,Captain Falcon
lloD,0.25,15634,Peach
Crush,0.251,4401,Fox
Bananas,0.252,46827,Ice Climbers
Duck,0.259,1037,Samus
Slox,0.259,1061,Fox
Nintendude,0.26,1023,Marth
ARMY,0.263,23458,Ice Climbers
n0ne,0.265,4107,Captain Falcon
Morsecode762,0.265,3713,Samus
Jerry,0.267,32097,Jigglypuff
PewPewU,0.268,1012,Marth
Colbol,0.269,1009,Fox
Trif,0.271,22900,Peach
HugS,0.277,1036,Samus
Ice,0.278,19573,Fox
SFAT,0.282,1019,Fox
AbsentPage,0.282,37339,Fox
Captain Faceroll,0.284,3359,Sheik
Westballz,0.288,1008,Falco
KJH,0.288,3560,Fox
La Luna,0.289,4507,Marth
Drunksloth,0.289,16148,Ice Climbers
MacD,0.291,1024,Peach
Legend,0.292,26761,Jigglypuff
Michael,0.293,26605,Jigglypuff
42nd,0.293,24709,Jigglypuff
Shroomed,0.294,1013,Sheik
Darkatma,0.297,7162,Sheik
2saint,0.299,20995,Jigglypuff
Bimbo,0.299,38255,Falco
Trulliam,0.299,5925,Falco
Syrox,0.302,39966,Fox
Flipsy,0.303,64187,Ice Climbers
Squid,0.304,4648,Falco
Kalamazhu,0.305,1039,Peach
Magi,0.306,6544,Falco
Captain Smuckers,0.306,4824,Captain Falcon
MikeHaze,0.308,4721,Fox
iBDW,0.309,19554,Fox
Ryan Ford,0.309,4111,Fox
Nicki,0.312,21553,Fox
HTwa,0.312,11781,Sheik
Laudandus,0.312,1089,Sheik
ChuDat,0.316,15179,Ice Climbers
Prince F. Abu,0.316,5878,Jigglypuff
FatGoku,0.318,4518,Fox
Ginger,0.321,3561,Falco
Darktooth,0.322,220477,Fox
Zeo,0.325,4230,Captain Falcon
NMW,0.327,3355,Captain Falcon
Fiction,0.329,1016,Fox
Rocky,0.329,4215,Falco
Tai,0.329,1084,Marth
Professor Pro,0.331,5563,Fox
Cob,0.333,26350,Peach
lovage805,0.334,29829,Fox
Eddy Mexico,0.335,1030,Luigi
Android,0.336,12870,Sheik
Kels,0.338,1027,Fox
Spark,0.338,3357,Sheik
Sharkz,0.339,7961,Ice Climbers
moky,0.342,5080,Fox
Hax$,0.345,1007,Fox
